TMP,HUM,C02,V_ST,Time,D_N
26.01,52.35,2,100%,Fri Oct 21 17:08:38 2022,242
25.88,50.78,2,100%,Fri Oct 21 17:08:48 2022,243
25.8,50.54,2,100%,Fri Oct 21 17:08:58 2022,244
25.66,50.42,2,100%,Fri Oct 21 17:09:08 2022,245
25.57,50.86,2,100%,Fri Oct 21 17:09:18 2022,246
25.46,50.88,2,100%,Fri Oct 21 17:09:28 2022,247
25.38,50.83,2,100%,Fri Oct 21 17:09:38 2022,248
25.28,51.03,2,100%,Fri Oct 21 17:09:48 2022,249
25.21,52.49,2,100%,Fri Oct 21 17:09:58 2022,250
25,51.66,2,100%,Fri Oct 21 17:10:08 2022,251
24.94,52.1,2,100%,Fri Oct 21 17:10:18 2022,252
24.86,52.17,2,100%,Fri Oct 21 17:10:28 2022,253
24.81,52.27,2,100%,Fri Oct 21 17:10:38 2022,254
24.79,52.3,2,100%,Fri Oct 21 17:10:48 2022,255
24.72,51.81,2,100%,Fri Oct 21 17:10:58 2022,256
24.69,52.59,2,100%,Fri Oct 21 17:11:08 2022,257
24.65,52.27,2,100%,Fri Oct 21 17:11:18 2022,258
24.62,52.27,2,100%,Fri Oct 21 17:11:29 2022,259
24.58,52.42,2,100%,Fri Oct 21 17:11:39 2022,260
24.53,52.59,2,100%,Fri Oct 21 17:11:49 2022,261
24.52,52.35,2,100%,Fri Oct 21 17:11:59 2022,262
24.48,52.64,2,100%,Fri Oct 21 17:12:09 2022,263
24.46,52.61,2,100%,Fri Oct 21 17:12:19 2022,264
24.43,52.86,2,100%,Fri Oct 21 17:12:29 2022,265
24.42,53.03,2,100%,Fri Oct 21 17:12:39 2022,266
24.39,53.08,2,100%,Fri Oct 21 17:12:49 2022,267
24.39,53.1,2,100%,Fri Oct 21 17:12:59 2022,268
24.38,53.13,2,100%,Fri Oct 21 17:13:09 2022,269
24.35,53.1,2,100%,Fri Oct 21 17:13:19 2022,270
24.31,52.91,2,100%,Fri Oct 21 17:13:29 2022,271
24.3,53.19,2,100%,Fri Oct 21 17:13:39 2022,272
24.28,53.56,2,100%,Fri Oct 21 17:13:49 2022,273
24.27,53.66,2,100%,Fri Oct 21 17:13:59 2022,274
24.21,52.88,2,100%,Fri Oct 21 17:14:09 2022,275
24.23,53.19,2,100%,Fri Oct 21 17:14:19 2022,276
24.2,53.39,2,100%,Fri Oct 21 17:14:29 2022,277
24.2,53.41,2,100%,Fri Oct 21 17:14:39 2022,278
24.19,53.73,2,100%,Fri Oct 21 17:14:49 2022,279
24.19,53.68,2,100%,Fri Oct 21 17:15:00 2022,280
24.19,53.56,2,100%,Fri Oct 21 17:15:10 2022,281
24.19,53.41,2,100%,Fri Oct 21 17:15:20 2022,282
24.16,53.13,2,100%,Fri Oct 21 17:15:30 2022,283
24.16,53.58,2,100%,Fri Oct 21 17:15:40 2022,284
24.14,53.83,2,100%,Fri Oct 21 17:15:50 2022,285
24.14,53.73,2,100%,Fri Oct 21 17:16:00 2022,286
24.14,53.76,2,100%,Fri Oct 21 17:16:10 2022,287
24.14,53.8,2,100%,Fri Oct 21 17:16:20 2022,288
24.13,54.15,2,100%,Fri Oct 21 17:16:30 2022,289
24.13,54.22,2,100%,Fri Oct 21 17:16:40 2022,290
24.13,54.27,2,100%,Fri Oct 21 17:16:50 2022,291
24.14,53.9,2,100%,Fri Oct 21 17:17:00 2022,292
24.13,53.51,2,100%,Fri Oct 21 17:17:10 2022,293
24.11,53.8,2,100%,Fri Oct 21 17:17:20 2022,294
24.11,54.12,2,100%,Fri Oct 21 17:17:30 2022,295
24.11,53.95,2,100%,Fri Oct 21 17:17:40 2022,296
24.1,54.02,2,100%,Fri Oct 21 17:17:51 2022,297
24.1,53.93,2,100%,Fri Oct 21 17:18:04 2022,298
24.11,54.19,2,100%,Fri Oct 21 17:18:10 2022,299
24.13,54.15,2,100%,Fri Oct 21 17:18:20 2022,300
24.13,54.34,2,100%,Fri Oct 21 17:18:31 2022,301
